cluster_name,soc_pct
not_classified,64.76632629124978
Computer and Mathematical,22.126704851411198
Educational Instruction and Library,7.198947922638858
"Arts, Design, Entertainment, Sports, and Media",4.85563516956069
Office and Administrative Support,4.189088857860577
"Life, Physical, and Social Science",2.5473210734299947
Community and Social Service,1.2232969720785507
Business and Financial Operations,1.1924027819973333
Sales and Related,1.0606563616563147
Production,0.897185485099906
Management,0.8559127698433601
Healthcare Practitioners and Technical,0.8431589967919992
Architecture and Engineering,0.7435121802836878
Legal,0.558305828035735
"Farming, Fishing, and Forestry",0.4550273065845658
Personal Care and Service,0.30975494879104776
"Installation, Maintenance, and Repair",0.2573957073714351
Food Preparation and Serving Related,0.21806883265590588
Healthcare Support,0.19436617635192632
Transportation and Material Moving,0.1779364149340405
Protective Service,0.159051530847571
Building and Grounds Cleaning and Maintenance,0.1266311423967439
Construction and Extraction,0.10215354634189752
